Fullname,DateofbirthAge,Placeofbirth,Height,Citizenship,Position,Foot,Playeragent,Currentclub,Joined,Contractexpires,Lastcontractextension,Outfitter,SocialMedia,tm_url,Nameinhomecountry,2ndclub,Onloanfrom,Contractthereexpires,source_url,Contractoption,3ndclub
NA,16.08.1993 (32),Madrid,"1,86 m",Spain,Defender - Centre-Back,right,Balance ...,Real Betis Balompié,09.07.2024,30.06.2028,NA,NA,,https://www.transfermarkt.com/diego-llorente/profil/spieler/246291,Diego Javier Llorente Ríos,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/nobel-mendy/profil/spieler/1034853,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/marc-bartra/profil/spieler/99922,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/sergio-arribas/profil/spieler/722351,NA,NA
NA,23.05.2004 (21),Paris,"1,87 m",France Cote d'Ivoire,Defender - Centre-Back,right,DWMA,Betis Deportivo Balompié,27.08.2024,30.06.2027,NA,NA,,https://www.transfermarkt.com/rudy-kohon/profil/spieler/917101,NA,NA,NA,NA,NA,NA,NA
NA,22.09.1997 (27),Toulouse,"1,73 m",France,Defender - Left-Back,left,Relatives,LOSC Lille,08.08.2025,30.06.2028,NA,Nike,,https://www.transfermarkt.com/romain-perraud/profil/spieler/318523,Romain Paul Jean-Michel Perraud,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/ricardo-rodriguez/profil/spieler/86784,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/lucas-alcazar/profil/spieler/709998,NA,NA
NA,14.01.2003 (22),Palma de Mallorca,"1,78 m",Spain,Defender - Left-Back,left,Unique Sports Group,Hércules CF,14.07.2025,30.06.2026,NA,NA,NA,https://www.transfermarkt.com/xavi-pleguezuelo/profil/spieler/971774,Xavier Pleguezuelo Selva,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/aitor-ruibal/profil/spieler/378139,NA,NA
