Fullname,DateofbirthAge,Placeofbirth,Height,Citizenship,Position,Foot,Playeragent,Currentclub,Joined,Contractexpires,Lastcontractextension,Outfitter,SocialMedia,tm_url,Nameinhomecountry,2ndclub,Onloanfrom,Contractthereexpires,source_url,Contractoption,3ndclub
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/ayman-azhil/profil/spieler/452068,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/felix-nmecha/profil/spieler/406640,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/jobe-bellingham/profil/spieler/796297,NA,NA
NA,20.10.2003 (21),Eisenstadt,"1,88 m",England Nigeria,Midfield - Central Midfield,right,NA,Chelsea FC,04.08.2022,30.06.2028,NA,NA,,https://www.transfermarkt.com/carney-chukwuemeka/profil/spieler/659459,Carney Chibueze Chukwuemeka,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/marcel-sabitzer/profil/spieler/106987,NA,NA
NA,15.06.1991 (34),Mannheim,"1,81 m",Germany,Midfield - Central Midfield,right,Excellence Sport,Borussia Dortmund,01.08.2024,30.06.2026,NA,adidas,NA,https://www.transfermarkt.com/pascal-gross/profil/spieler/82873,NA,NA,NA,NA,NA,NA,NA
NA,16.02.2006 (19),Gevelsberg,"1,84 m",Germany,Midfield - Central Midfield,right,CAA Stellar,VfL Bochum,01.07.2025,30.06.2026,NA,adidas,,https://www.transfermarkt.com/kjell-watjen/profil/spieler/884810,Kjell-Arik Wätjen,NA,Borussia Dortmund,30.06.2028,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/julian-brandt/profil/spieler/187492,NA,NA
NA,13.11.2002 (22),Sunderland,"1,85 m",United States Portugal,Midfield - Attacking Midfield,right,ROOF,Borussia Mönchengladbach,23.08.2025,30.06.2028,NA,adidas,,https://www.transfermarkt.com/giovanni-reyna/profil/spieler/504215,Giovanni Alejandro Reyna,NA,NA,NA,NA,NA,NA
NA,08.08.2004 (21),London,"1,78 m",England Barbados,Attack - Left Winger,right,Elite Project Group ...,Chelsea FC,05.07.2025,30.06.2032,NA,NA,,https://www.transfermarkt.com/jamie-gittens/profil/spieler/670882,Jamie Jermaine Bynoe-Gittens,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/julien-duranville/profil/spieler/819215,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/rodney-elongo-yombo/profil/spieler/662808,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/mathis-albert/profil/spieler/1193849,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/karim-adeyemi/profil/spieler/496094,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/donyell-malen/profil/spieler/326029,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/cole-campbell/profil/spieler/866579,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/samuele-inacio/profil/spieler/1058359,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/serhou-guirassy/profil/spieler/270541,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/maximilian-beier/profil/spieler/578392,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/sebastien-haller/profil/spieler/181375,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/jordi-paulina/profil/spieler/1045762,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/moritz-nicolas/profil/spieler/284270,NA,NA
NA,10.01.1994 (31),Sarnen,"1,90 m",Switzerland,Goalkeeper,right,Signature - ISCM AG,Borussia Mönchengladbach,19.01.2023,30.06.2027,NA,Puma,,https://www.transfermarkt.com/jonas-omlin/profil/spieler/247915,NA,NA,NA,NA,NA,NA,NA
NA,07.04.2006 (19),Esch-sur-Alzette,"1,90 m",Luxembourg Portugal,Goalkeeper,right,Wasserman,Borussia Mönchengladbach,01.03.2025,-,30.09.2024,AB1,,https://www.transfermarkt.com/tiago-pereira-cardoso/profil/spieler/926301,NA,Borussia Mönchengladbach II (#42),NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/tobias-sippel/profil/spieler/31653,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/ko-itakura/profil/spieler/355816,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/nico-elvedi/profil/spieler/192635,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/marvin-friedrich/profil/spieler/196231,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/fabio-chiarodia/profil/spieler/724104,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/lukas-ullrich/profil/spieler/787151,NA,NA
NA,15.05.2003 (22),Berlin,"1,84 m",Germany,Defender - Left-Back,left,11WINS,Borussia Mönchengladbach,06.08.2021,30.06.2026,NA,NA,,https://www.transfermarkt.com/luca-netz/profil/spieler/524285,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/joe-scally/profil/spieler/504153,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/stefan-lainer/profil/spieler/85791,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/julian-weigl/profil/spieler/196792,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/niklas-swider/profil/spieler/1009463,NA,NA
NA,08.02.2004 (21),Rostock,"1,88 m",Germany,Midfield - Defensive Midfield,right,PRO Profil GmbH,Borussia Mönchengladbach II,01.07.2024,30.06.2026,NA,NA,,https://www.transfermarkt.com/veit-stange/profil/spieler/787152,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/manu-kone/profil/spieler/624690,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/rocco-reitz/profil/spieler/467434,NA,NA
NA,21.02.1998 (27),Rostock,"1,86 m",Germany,Midfield - Central Midfield,both,Tenet Football,Borussia Mönchengladbach,01.07.2024,30.06.2028,NA,NA,NA,https://www.transfermarkt.com/philipp-sander/profil/spieler/388409,NA,NA,NA,NA,NA,NA,NA
NA,16.03.1997 (28),Landsberg am Lech,"1,85 m",Germany,Midfield - Central Midfield,right,CN Sports,Borussia Mönchengladbach,01.07.2017,30.06.2027,28.07.2023,NA,,https://www.transfermarkt.com/florian-neuhaus/profil/spieler/278332,Florian Christian Neuhaus,NA,NA,NA,NA,NA,NA
NA,27.08.1993 (31),Steyr,"1,75 m",Austria,Midfield - Attacking Midfield,left,Teamgeist ...,Borussia Mönchengladbach,01.07.2024,30.06.2027,NA,NA,,https://www.transfermarkt.com/kevin-stoger/profil/spieler/106872,NA,NA,NA,NA,NA,performance option,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/robin-hack/profil/spieler/284010,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/yvandro-borges-sanches/profil/spieler/586659,NA,NA
NA,18.05.2005 (20),Eschweiler,"1,83 m",Croatia Germany,Attack - Left Winger,right,Sports360 GmbH,1.FC Magdeburg,29.07.2025,30.06.2026,NA,adidas,,https://www.transfermarkt.com/noah-pesch/profil/spieler/696028,Noah Phil Pesch,NA,Borussia Mönchengladbach,30.06.2027,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/franck-honorat/profil/spieler/229006,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/nathan-ngoumou/profil/spieler/629588,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/charles-herrmann/profil/spieler/884822,NA,NA
NA,31.08.1995 (29),Jüterbog,"1,94 m",Germany,Attack - Centre-Forward,both,Björn Etzel,Borussia Mönchengladbach,01.07.2024,30.06.2028,NA,Mizuno,,https://www.transfermarkt.com/tim-kleindienst/profil/spieler/193033,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/alassane-plea/profil/spieler/167329,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/tomas-cvancara/profil/spieler/544148,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/grant-leon-ranos/profil/spieler/574201,NA,NA
NA,08.04.2004 (21),"Kanoya, Kagoshima","1,78 m",Japan,Attack - Centre-Forward,right,JAPAN SPORTS ...,Karlsruher SC,22.08.2025,30.06.2026,NA,Puma,,https://www.transfermarkt.com/shio-fukuda/profil/spieler/1073997,福田 師王,NA,Borussia Mönchengladbach,30.06.2027,NA,Option to buy,NA
NA,25.05.2002 (23),Freiburg im Breisgau,"1,90 m",Germany Nigeria,Goalkeeper,right,Unique Sports Group,SC Freiburg,01.07.2021,-,13.07.2023,NA,,https://www.transfermarkt.com/noah-atubolu/profil/spieler/526845,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/florian-muller/profil/spieler/284769,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/jannik-huth/profil/spieler/160954,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/philipp-lienhart/profil/spieler/225657,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/max-rosenfelder/profil/spieler/599419,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/matthias-ginter/profil/spieler/124502,NA,NA
NA,17.12.2005 (19),Neunkirch,"1,85 m",Switzerland Nigeria,Defender - Centre-Back,right,Sports360 GmbH,SC Freiburg,01.07.2024,-,30.09.2024,NA,,https://www.transfermarkt.com/bruno-ogbus/profil/spieler/863759,Bruno Ifechukwu Ogbus,NA,NA,NA,NA,NA,NA
NA,03.06.2002 (23),Freiburg im Breisgau,"1,89 m",Germany Nigeria,Defender - Centre-Back,left,Unique Sports Group,Fortuna Düsseldorf,01.07.2025,30.06.2028,NA,Puma,,https://www.transfermarkt.com/kenneth-schmidt/profil/spieler/527276,Tan-Kenneth Jerico Leka-Schmidt,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/manuel-gulde/profil/spieler/45683,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/jordy-makengo/profil/spieler/815078,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/christian-gunter/profil/spieler/93707,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/roland-sallai/profil/spieler/332798,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/kiliann-sildillia/profil/spieler/548348,NA,NA
NA,30.08.1992 (32),Bonn,"1,82 m",Germany,Defender - Right-Back,right,ROOF,SC Freiburg,01.07.2015,-,26.11.2024,NA,,https://www.transfermarkt.com/lukas-kubler/profil/spieler/93604,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/patrick-osterhage/profil/spieler/443331,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/nicolas-hofler/profil/spieler/55099,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/maximilian-eggestein/profil/spieler/190284,NA,NA
NA,14.10.2005 (19),Genève,"1,82 m",Switzerland,Midfield - Central Midfield,right,Gold Kick SA,SC Freiburg,01.07.2024,-,24.06.2025,NA,NA,https://www.transfermarkt.com/johan-manzambi/profil/spieler/927353,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/yann-sturm/profil/spieler/829820,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/merlin-rohl/profil/spieler/608832,NA,NA
NA,06.07.1998 (27),Achern,"1,72 m",Kosovo Germany,Midfield - Attacking Midfield,right,AKA Global GmbH,Fortuna Düsseldorf,08.08.2025,30.06.2026,NA,NA,,https://www.transfermarkt.com/florent-muslija/profil/spieler/337036,NA,NA,SC Freiburg,30.06.2028,NA,Option to buy,NA
NA,08.03.1996 (29),Accra,"1,79 m",Ghana Germany,Midfield - Attacking Midfield,right,Alfaria sports GmbH,SC Freiburg,01.07.2022,-,NA,NA,,https://www.transfermarkt.com/daniel-kofi-kyereh/profil/spieler/272587,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/vincenzo-grifo/profil/spieler/185077,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/noah-weisshaupt/profil/spieler/392163,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/ritsu-doan/profil/spieler/358504,NA,NA
NA,13.12.2001 (23),Bremen,"1,88 m",Türkiye Germany,Attack - Right Winger,right,EMG Mundial,SC Freiburg,01.07.2024,-,NA,NA,,https://www.transfermarkt.com/eren-dinkci/profil/spieler/645774,Eren Sami Dinkçi,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/niklas-beste/profil/spieler/342967,NA,NA
NA,01.03.1994 (31),Berlin,"1,83 m",Germany,Attack - Second Striker,right,Unique Sports Group,SC Freiburg,01.07.2024,-,NA,NA,,https://www.transfermarkt.com/maximilian-philipp/profil/spieler/143891,Maximilian Marcus Philipp,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/junior-adamu/profil/spieler/452477,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/lucas-holer/profil/spieler/248999,NA,NA
NA,18.04.1994 (31),Graz,"1,93 m",Austria,Attack - Centre-Forward,left,YOU FIRST,Bröndby IF,20.08.2025,30.06.2028,NA,adidas,,https://www.transfermarkt.com/michael-gregoritsch/profil/spieler/120205,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/robin-zentner/profil/spieler/160963,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/lasse-riess/profil/spieler/490609,NA,NA
NA,12.01.1991 (34),Erlangen,"1,91 m",Germany,Goalkeeper,both,Soccer and more,1.FSV Mainz 05,01.07.2023,30.06.2026,11.04.2025,NA,,https://www.transfermarkt.com/daniel-batz/profil/spieler/90317,NA,NA,NA,NA,NA,NA,NA
NA,17.01.1997 (28),Bodø,"1,85 m",Norway,Defender - Centre-Back,right,Nordic Sky,1.FSV Mainz 05,13.01.2023,30.06.2028,10.07.2025,NA,,https://www.transfermarkt.com/andreas-hanche-olsen/profil/spieler/370683,Andreas Schjølberg Hanche-Olsen,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/moritz-jenz/profil/spieler/460245,NA,NA
NA,31.01.1994 (31),Trier,"1,83 m",Germany,Defender - Centre-Back,right,Sports360 GmbH,1.FSV Mainz 05,01.07.2022,30.06.2028,11.04.2025,adidas,,https://www.transfermarkt.com/dominik-kohr/profil/spieler/118847,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/maxim-leitsch/profil/spieler/334207,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/danny-da-costa/profil/spieler/85906,NA,NA
NA,24.08.1991 (34),Andernach,"1,92 m",Germany,Defender - Centre-Back,right,Haspel ...,1.FSV Mainz 05,01.07.2010,30.06.2026,02.05.2025,adidas,,https://www.transfermarkt.com/stefan-bell/profil/spieler/82350,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/maxim-dal/profil/spieler/934317,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/phillipp-mwene/profil/spieler/127573,NA,NA
NA,01.07.1997 (28),Forbach,"1,84 m",France,Defender - Right-Back,both,BS Group ...,1.FSV Mainz 05,01.07.2022,30.06.2026,NA,NA,,https://www.transfermarkt.com/anthony-caci/profil/spieler/453016,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/nikolas-veratschnig/profil/spieler/601143,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/silvan-widmer/profil/spieler/168989,NA,NA
NA,30.12.2000 (24),"Tsuyama, Okayama","1,76 m",Japan,Midfield - Defensive Midfield,right,UDN SPORTS,1.FSV Mainz 05,03.07.2024,30.06.2028,NA,NA,NA,https://www.transfermarkt.com/kaishu-sano/profil/spieler/643574,佐野 海舟,NA,NA,NA,NA,NA,NA
NA,08.10.1999 (25),Berlin,"1,88 m",United States Germany,Midfield - Defensive Midfield,right,AKA Global GmbH,1.FSV Mainz 05,21.01.2025,30.06.2028,NA,NA,NA,https://www.transfermarkt.com/lennard-maloney/profil/spieler/392710,Lennard Patrick Maloney,NA,NA,NA,NA,NA,NA
NA,15.04.1996 (29),Sion,"1,87 m",Switzerland,Midfield - Defensive Midfield,right,Wasserman,BSC Young Boys,14.07.2025,30.06.2029,NA,NA,,https://www.transfermarkt.com/edimilson-fernandes/profil/spieler/247555,Edimilson Fernandes Ribeiro,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/nadiem-amiri/profil/spieler/232454,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/daniel-gleiber/profil/spieler/906969,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/paul-nebel/profil/spieler/503160,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/hyun-seok-hong/profil/spieler/562948,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/jae-sung-lee/profil/spieler/314398,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/marco-richter/profil/spieler/279009,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/aymen-barkok/profil/spieler/315332,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/arnaud-nordin/profil/spieler/324811,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/gabriel-vidovic/profil/spieler/604327,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/armindo-sieb/profil/spieler/569033,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/jonathan-burkardt/profil/spieler/333647,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/nelson-weiper/profil/spieler/796213,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/karim-onisiwo/profil/spieler/119234,NA,NA
NA,27.03.1998 (27),Wiesbaden,"1,86 m",Germany England,Goalkeeper,right,CN Sports,FC Augsburg,01.07.2023,30.06.2027,02.05.2025,NA,,https://www.transfermarkt.com/finn-dahmen/profil/spieler/251299,Finn Gilbert Dahmen,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/nediljko-labrovic/profil/spieler/610190,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/daniel-klein/profil/spieler/392124,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/chrislain-matsima/profil/spieler/569383,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/felix-uduokhai/profil/spieler/278343,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/cedric-zesiger/profil/spieler/382478,NA,NA
NA,28.04.1997 (28),Weinstadt,"1,88 m",Germany,Defender - Centre-Back,left,Björn Etzel,FC Augsburg,01.07.2024,30.06.2027,NA,NA,,https://www.transfermarkt.com/keven-schlotterbeck/profil/spieler/413843,NA,NA,NA,NA,NA,NA,NA
NA,01.12.2006 (18),"Honolulu, Hawaii","1,93 m",United States Germany,Defender - Centre-Back,right,Karl M. Herzog ...,FC Augsburg,10.07.2024,30.06.2029,23.06.2025,NA,NA,https://www.transfermarkt.com/noahkai-banks/profil/spieler/923945,Noahkai Dominic Banks,NA,NA,NA,NA,NA,NA
NA,09.02.2000 (25),Vilshofen,"1,89 m",Germany,Defender - Centre-Back,right,Robert Schneider,FC Augsburg,01.07.2022,30.06.2027,NA,NA,,https://www.transfermarkt.com/maximilian-bauer/profil/spieler/388363,NA,NA,NA,NA,NA,NA,NA
NA,10.07.1991 (34),Heemskerk,"1,88 m",Netherlands,Defender - Centre-Back,right,SEG,FC Augsburg,09.01.2016,30.06.2026,20.02.2025,Under Armour,,https://www.transfermarkt.com/jeffrey-gouweleeuw/profil/spieler/106405,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/reece-oxford/profil/spieler/314295,NA,NA
NA,16.01.2007 (18),München,"1,89 m",Germany,Defender - Centre-Back,right,Rummenigge Sport ...,FC Augsburg,01.07.2025,30.06.2027,NA,NA,NA,https://www.transfermarkt.com/felix-meiser/profil/spieler/1069641,Felix Constantin Meiser,NA,NA,NA,NA,NA,NA
